"","seg_id","parameter","fraction","units","sample_id","value_hardness","value_ph","value_temperature","units_hardness","units_ph","units_temperature","interpreted_qualifiers","site_id","quantitation_limit","data_provider","date","validator_qualifiers","depth","info_type","value","class","spatial_extent","water_type","class_type","trout_class","sampling_period","sampling_period_units","type","use","standard_type","narrative","wqs_threshold","wqs_threshold_formula","wqs_threshold_x_column","wqs_threshold_y_column","statistic","min_n","block","direction","threshold","threshold_units","summarize_rows","summarize_rows_operator","wqs_75p_threshold_formula","wqs_75p_threshold"
"1","0201-0065","alkalinity, total (as caco3)","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",2,"AE",2021-07-01,"A",NA,NA,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","0201-0065","alkalinity, total (as caco3)","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",2,"AE",2021-07-01,"A",NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","0201-0065","aluminum","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",10,"AE",2021-07-01,"A",NA,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","0201-0065","aluminum","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",50,"AE",2021-07-01,"A",NA,NA,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","0201-0065","ammonia","total","ug/l","02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",0.01,"AE",2021-07-01,"A",NA,NA,72,"c","nys","flow","fresh","non_trout","january-december","months","aquatic_chronic","fishing","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"6","0201-0065","ammonia","total","ug/l","02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",0.01,"AE",2021-07-01,"A",NA,NA,26,"c","nys","flow","fresh","non_trout","january-december","months","aquatic_chronic","fishing","water_quality_standard","Standard is based on pH and temperature","thresh_total_ammonia","thresh_total_ammonia","result_numeric_ph","result_numeric_temperature","none",1,"single","<=",NA,"mg/l",FALSE,NA,NA,NA
"7","0201-0065","arsenic","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",1,"AE",2021-07-01,"A",NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","0201-0065","arsenic","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",1,"AE",2021-07-01,"A",NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","0201-0065","cadmium","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","Analyte was analyzed for but not detected","02-DODG-0.3",1,"AE",2021-07-01,"U",NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","0201-0065","cadmium","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","Analyte was analyzed for but not detected","02-DODG-0.1",1,"AE",2021-07-01,"U",NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","0201-0065","calcium","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",1000,"AE",2021-07-01,"A",NA,NA,11400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","0201-0065","calcium","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",1000,"AE",2021-07-01,"A",NA,NA,11200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","0201-0065","chloride","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",2,"AE",2021-07-01,"A",NA,NA,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","0201-0065","chloride","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",2,"AE",2021-07-01,"A",NA,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","0201-0065","copper","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",1,"AE",2021-07-01,"A",NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","0201-0065","copper","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",1,"AE",2021-07-01,"A",NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","0201-0065","dissolved oxygen saturation","",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","N/A","02-DODG-0.1",NA,NA,2021-07-01,"N/A",NA,NA,94.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","0201-0065","dissolved oxygen saturation","",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","N/A","02-DODG-0.3",NA,NA,2021-07-01,"N/A",NA,NA,101.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","0201-0065","dissolved_oxygen","dissolved","mg/l","02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","N/A","02-DODG-0.3",NA,NA,2021-07-01,"N/A",NA,NA,9.03,"c","nys","flow","fresh","non_trout","january-december","months","none","fishing","water_quality_standard","Minimum daily average shall not be less than 5.0 mg/L, and at no time shall the DO concentration be less than 4.0 mg/ L.","none",NA,"none","none","min",1,"all",">=",4,"mg/l",TRUE,"&","min",8
"20","0201-0065","dissolved_oxygen","dissolved","mg/l","02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","N/A","02-DODG-0.3",NA,NA,2021-07-01,"N/A",NA,NA,9.03,"c","nys","flow","fresh","non_trout","january-december","months","none","fishing","water_quality_standard","Minimum daily average shall not be less than 5.0 mg/L, and at no time shall the DO concentration be less than 4.0 mg/ L.","none",NA,"none","none","mean",1,"date",">=",5,"mg/l",TRUE,"&","min_mean",8
"21","0201-0065","dissolved_oxygen","dissolved","mg/l","02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","N/A","02-DODG-0.1",NA,NA,2021-07-01,"N/A",NA,NA,8.4,"c","nys","flow","fresh","non_trout","january-december","months","none","fishing","water_quality_standard","Minimum daily average shall not be less than 5.0 mg/L, and at no time shall the DO concentration be less than 4.0 mg/ L.","none",NA,"none","none","min",1,"all",">=",4,"mg/l",TRUE,"&","min",8
"22","0201-0065","dissolved_oxygen","dissolved","mg/l","02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","N/A","02-DODG-0.1",NA,NA,2021-07-01,"N/A",NA,NA,8.4,"c","nys","flow","fresh","non_trout","january-december","months","none","fishing","water_quality_standard","Minimum daily average shall not be less than 5.0 mg/L, and at no time shall the DO concentration be less than 4.0 mg/ L.","none",NA,"none","none","mean",1,"date",">=",5,"mg/l",TRUE,"&","min_mean",8
"23","0201-0065","hardness","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",6.62,"AE",2021-07-01,"A",NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","0201-0065","hardness","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",6.62,"AE",2021-07-01,"A",NA,NA,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","0201-0065","iron","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",100,"AE",2021-07-01,"A",NA,NA,782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","0201-0065","iron","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",100,"AE",2021-07-01,"A",NA,NA,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","0201-0065","lead","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","estimated value due to lab error","02-DODG-0.3",1,"AE",2021-07-01,"J",NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","0201-0065","lead","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",1,"AE",2021-07-01,"A",NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","0201-0065","magnesium","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",1000,"AE",2021-07-01,"0",NA,NA,3070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","0201-0065","magnesium","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",1000,"AE",2021-07-01,"0",NA,NA,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","0201-0065","nickel","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","estimated value due to lab error","02-DODG-0.3",1,"AE",2021-07-01,"J",NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","0201-0065","nickel","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",1,"AE",2021-07-01,"A",NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","0201-0065","nitrate","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",0.01,"AE",2021-07-01,"A",NA,NA,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","0201-0065","nitrate","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",0.01,"AE",2021-07-01,"A",NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","0201-0065","nitrate_nitrite","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",0.002,"AE",2021-07-01,"A",NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","0201-0065","nitrate_nitrite","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",0.002,"AE",2021-07-01,"A",NA,NA,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","0201-0065","nitrite","total","ug/l","02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","Analyte was analyzed for but not detected","02-DODG-0.3",0.01,"AE",2021-07-01,"U",NA,NA,3.5,"c","nys","flow","fresh","non_trout","january-december","months","aquatic_chronic","fishing","water_quality_standard","Standard is 100 ug/L except 20 ug/L for trout waters (T or TS).","none",NA,"none","none","none",1,"single","<=",100,"ug/l",FALSE,NA,NA,NA
"38","0201-0065","nitrite","total","ug/l","02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","Analyte was analyzed for but not detected","02-DODG-0.1",0.01,"AE",2021-07-01,"U",NA,NA,3.5,"c","nys","flow","fresh","non_trout","january-december","months","aquatic_chronic","fishing","water_quality_standard","Standard is 100 ug/L except 20 ug/L for trout waters (T or TS).","none",NA,"none","none","none",1,"single","<=",100,"ug/l",FALSE,NA,NA,NA
"39","0201-0065","nitrogen, kjeldahl, total","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",0.1,"AE",2021-07-01,"A",NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","0201-0065","nitrogen, kjeldahl, total","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",0.1,"AE",2021-07-01,"A",NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","0201-0065","nitrogen, total","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",0.1,"AE",2021-07-01,"A",NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","0201-0065","nitrogen, total","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",0.1,"AE",2021-07-01,"A",NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","0201-0065","ph","total","ph_units","02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","N/A","02-DODG-0.1",NA,NA,2021-07-01,"N/A",NA,NA,7.52,"c","nys","flow","fresh","all","january-december","months","none","fishing","water_quality_standard","Shall not be less than 6.5 nor more than 8.5.","none",NA,"none","none","none",1,"single",">=",6.5,"ph_units",TRUE,"&",NA,7.4
"44","0201-0065","ph","total","ph_units","02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","N/A","02-DODG-0.1",NA,NA,2021-07-01,"N/A",NA,NA,7.52,"c","nys","flow","fresh","all","january-december","months","none","fishing","water_quality_standard","Shall not be less than 6.5 nor more than 8.5.","none",NA,"none","none","none",1,"single","<=",8.5,"ph_units",TRUE,"&",NA,8
"45","0201-0065","ph","total","ph_units","02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","N/A","02-DODG-0.3",NA,NA,2021-07-01,"N/A",NA,NA,7.93,"c","nys","flow","fresh","all","january-december","months","none","fishing","water_quality_standard","Shall not be less than 6.5 nor more than 8.5.","none",NA,"none","none","none",1,"single",">=",6.5,"ph_units",TRUE,"&",NA,7.4
"46","0201-0065","ph","total","ph_units","02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","N/A","02-DODG-0.3",NA,NA,2021-07-01,"N/A",NA,NA,7.93,"c","nys","flow","fresh","all","january-december","months","none","fishing","water_quality_standard","Shall not be less than 6.5 nor more than 8.5.","none",NA,"none","none","none",1,"single","<=",8.5,"ph_units",TRUE,"&",NA,8
"47","0201-0065","phosphorus","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",0.025,"AE",2021-07-01,"A",NA,NA,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","0201-0065","phosphorus","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","","02-DODG-0.3",0.005,"AE",2021-07-01,"A",NA,NA,0.0566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","0201-0065","salinity","",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","N/A","02-DODG-0.3",NA,NA,2021-07-01,"N/A",NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","0201-0065","salinity","",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","N/A","02-DODG-0.1",NA,NA,2021-07-01,"N/A",NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","0201-0065","silver","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","Analyte was analyzed for but not detected","02-DODG-0.1",1,"AE",2021-07-01,"U",NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","0201-0065","silver","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","Analyte was analyzed for but not detected","02-DODG-0.3",1,"AE",2021-07-01,"U",NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","0201-0065","specific conductance","",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","N/A","02-DODG-0.3",NA,NA,2021-07-01,"N/A",NA,NA,132.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","0201-0065","specific conductance","",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","N/A","02-DODG-0.1",NA,NA,2021-07-01,"N/A",NA,NA,115.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","0201-0065","temperature","",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","N/A","02-DODG-0.1",NA,NA,2021-07-01,"N/A",NA,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","0201-0065","temperature","",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","N/A","02-DODG-0.3",NA,NA,2021-07-01,"N/A",NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","0201-0065","turbidity","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","low confidence in value due to Equipment Blank error","02-DODG-0.1",1,"AE",2021-07-01,"T",NA,NA,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","0201-0065","zinc","total",NA,"02-DODG-0.3_20210701",41.1,7.93,21.2,"mg/l","ph units","deg c","Analyte was analyzed for but not detected","02-DODG-0.3",5,"AE",2021-07-01,"U",NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","0201-0065","zinc","total",NA,"02-DODG-0.1_20210701",39.6,7.52,21.1,"mg/l","ph units","deg c","","02-DODG-0.1",5,"AE",2021-07-01,"A",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
